country_code,date,holiday_name
BR,1893-04-21,Tiradentes' Day
BO,1893-05-01,Labor Day
FI,1893-05-01,May Day
BR,1893-05-03,Discovery of Brazil
CH,1893-05-11,Ascension Day
FI,1893-05-11,Ascension Day
FR,1893-05-11,Ascension Day
NL,1893-05-11,Ascension Day
BR,1893-05-13,Abolition of slavery in Brazil
FI,1893-05-21,Whit Sunday
NL,1893-05-21,Whit Sunday
FR,1893-05-22,Whit Monday
IE,1893-05-22,Whit Monday
IM,1893-05-22,Whit Monday
NL,1893-05-22,Whit Monday
US,1893-05-30,Memorial Day
BO,1893-06-01,Corpus Christi
PT,1893-06-01,Corpus Christi
IM,1893-06-02,TT Bank Holiday
FI,1893-06-23,Midsummer Eve
FI,1893-06-24,Midsummer Day
VE,1893-06-24,Battle of Carabobo
CA,1893-07-01,Dominion Day
US,1893-07-04,Independence Day
IM,1893-07-05,Tynwald Day
VE,1893-07-05,Independence Day
BR,1893-07-14,Freedom and Independence of American Peoples
FR,1893-07-14,National Day
CH,1893-08-01,National Day
BO,1893-08-06,Independence Day
IE,1893-08-07,August Bank Holiday
FR,1893-08-15,Assumption Day
PT,1893-08-15,Assumption Day
NL,1893-08-31,Queen's Day
BR,1893-09-07,Independence Day
BR,1893-10-12,Discovery of America
FI,1893-11-01,All Saints' Day
FR,1893-11-01,All Saints' Day
PT,1893-11-01,All Saints' Day
BR,1893-11-02,All Souls' Day
BR,1893-11-15,Republic Proclamation Day
US,1893-11-23,Thanksgiving Day
PT,1893-12-01,Restoration of Independence Day
PT,1893-12-08,Immaculate Conception
FI,1893-12-24,Christmas Eve
VE,1893-12-24,Christmas Eve
AU,1893-12-25,Christmas Day
BO,1893-12-25,Christmas Day
CA,1893-12-25,Christmas Day
CH,1893-12-25,Christmas Day
FI,1893-12-25,Christmas Day
FR,1893-12-25,Christmas Day
GB,1893-12-25,Christmas Day
IE,1893-12-25,Christmas Day
IM,1893-12-25,Christmas Day
NL,1893-12-25,Christmas Day
PT,1893-12-25,Christmas Day
US,1893-12-25,Christmas Day
VE,1893-12-25,Christmas Day
AU,1893-12-26,Boxing Day
FI,1893-12-26,Second Day of Christmas
GB,1893-12-26,Boxing Day
IE,1893-12-26,Saint Stephen's Day
IM,1893-12-26,Boxing Day
NL,1893-12-26,Second Day of Christmas
VE,1893-12-31,New Year's Eve
AU,1894-01-01,New Year's Day
BO,1894-01-01,New Year's Day
BR,1894-01-01,Universal Fraternization Day
CA,1894-01-01,New Year's Day
CH,1894-01-01,New Year's Day
FI,1894-01-01,New Year's Day
FR,1894-01-01,New Year's Day
NL,1894-01-01,New Year's Day
NZ,1894-01-01,New Year's Day
PT,1894-01-01,New Year's Day
US,1894-01-01,New Year's Day
VE,1894-01-01,New Year's Day
NZ,1894-01-02,Day after New Year's Day
FI,1894-01-06,Epiphany
BO,1894-02-05,Carnival
VE,1894-02-05,Monday of Carnival
BO,1894-02-06,Carnival
VE,1894-02-06,Tuesday of Carnival
US,1894-02-22,Washington's Birthday
BR,1894-02-24,Republic Constitution Day
VE,1894-03-22,Maundy Thursday
AU,1894-03-23,Good Friday
BO,1894-03-23,Good Friday
BR,1894-03-23,Good Friday
CA,1894-03-23,Good Friday
FI,1894-03-23,Good Friday
GB,1894-03-23,Good Friday
